month,trip_count
2023-01,414457
2023-02,446724
2023-03,585160
2023-04,570241
2023-05,592701
2023-06,625645
2023-07,548629
2023-08,553854
2023-09,558682
2023-10,606474
2023-11,527795
2023-12,454150
